Property type,Bedrooms,Mean rent,Mean sqrft,Listings,Units,Parcels
Commercial multi-unit,Studio,14991.688644688646,867.5002173913043,680,313,230
Commercial multi-unit,1 BR,19521.67507757835,682.4881226793988,77873,23601,2740
Commercial multi-unit,2 BR,26305.51374747274,984.1989002140393,48386,12050,2161
Commercial multi-unit,3 BR,34297.116696615754,1138.1104838709678,4638,894,329
Commercial multi-unit,4 BR,35067.26190476191,1321.2261904761904,532,93,48
Commercial multi-unit,5+ BR,32289.35593220339,3311.5,397,61,47
Residential condominium,Studio,17402.5,453.8695652173913,44,24,23
Residential condominium,1 BR,25265.838057951874,725.5279063203463,38079,6143,1766
Residential condominium,2 BR,48542.85535004661,1413.5622747747748,81595,7840,1684
Residential condominium,3 BR,45663.77419354839,1704.125,969,275,182
Residential condominium,4 BR,42600,1530.5,973,76,70
Residential condominium,5+ BR,69600,3080,66,8,3
Single-family,Studio,16936,454.1666666666667,26,9,8
Single-family,1 BR,20532.170738183748,865.1593137254902,2561,603,412
Single-family,2 BR,31193.19439421338,1155.6381294964028,10563,2495,1740
Single-family,3 BR,38282.04458945079,1634.308225508318,18130,3746,2659
Single-family,4 BR,46739.87294117647,2282.682634730539,7023,1281,978
Single-family,5+ BR,56362.5859375,2525.6111111111113,5094,778,549
Small multi-unit,Studio,14488,425,12,6,5
Small multi-unit,1 BR,20146.82294264339,810.59375,1556,448,286
Small multi-unit,2 BR,26449.05424954792,1061.25,4974,1207,722
Small multi-unit,3 BR,33093.502870651806,1379.1376146788991,2247,477,285
Small multi-unit,4 BR,35984.125,1901.7173913043478,795,149,108
Small multi-unit,5+ BR,47259.82702702703,2691.340425531915,1129,187,130
