Year,Ownership,Median HH Income,Median Housing Cost,Statistic,value
2005,Own,90000,23052,Median HH Income Index,100
2005,Own,90000,23052,Median Housing Cost Index,100
2006,Own,99200,25092,Median HH Income Index,110.22222222222223
2006,Own,99200,25092,Median Housing Cost Index,108.84955752212389
2007,Own,103400,25044,Median HH Income Index,114.88888888888889
2007,Own,103400,25044,Median Housing Cost Index,108.6413326392504
2008,Own,106000,27000,Median HH Income Index,117.77777777777779
2008,Own,106000,27000,Median Housing Cost Index,117.12649661634565
2009,Own,110200,27420,Median HH Income Index,122.44444444444444
2009,Own,110200,27420,Median Housing Cost Index,118.9484643414888
2010,Own,106000,26160,Median HH Income Index,117.77777777777779
2010,Own,106000,26160,Median Housing Cost Index,113.48256116605936
2011,Own,112000,26904,Median HH Income Index,124.44444444444444
2011,Own,112000,26904,Median Housing Cost Index,116.71004685059864
2012,Own,114000,26316,Median HH Income Index,126.66666666666666
2012,Own,114000,26316,Median Housing Cost Index,114.15929203539822
2013,Own,122000,26160,Median HH Income Index,135.55555555555557
2013,Own,122000,26160,Median Housing Cost Index,113.48256116605936
2014,Own,130000,27300,Median HH Income Index,144.44444444444443
2014,Own,130000,27300,Median Housing Cost Index,118.42790213430506
2015,Own,135000,27600,Median HH Income Index,150
2015,Own,135000,27600,Median Housing Cost Index,119.72930765226444
2016,Own,147000,29316,Median HH Income Index,163.33333333333334
2016,Own,147000,29316,Median Housing Cost Index,127.17334721499218
2017,Own,140000,29820,Median HH Income Index,155.55555555555557
2017,Own,140000,29820,Median Housing Cost Index,129.359708485164
2018,Own,160250,32820,Median HH Income Index,178.05555555555554
2018,Own,160250,32820,Median Housing Cost Index,142.37376366475794
2019,Own,177800,36264,Median HH Income Index,197.55555555555554
2019,Own,177800,36264,Median Housing Cost Index,157.3138990109318
2020,Own,184000,35220,Median HH Income Index,204.44444444444443
2020,Own,184000,35220,Median Housing Cost Index,152.7850078084331
2005,Rent,36120,9000,Median HH Income Index,100
2005,Rent,36120,9000,Median Housing Cost Index,100
2006,Rent,41000,9360,Median HH Income Index,113.51052048726467
2006,Rent,41000,9360,Median Housing Cost Index,104
2007,Rent,43500,9600,Median HH Income Index,120.43189368770764
2007,Rent,43500,9600,Median Housing Cost Index,106.66666666666667
2008,Rent,44500,10560,Median HH Income Index,123.20044296788484
2008,Rent,44500,10560,Median Housing Cost Index,117.33333333333333
2009,Rent,45000,11040,Median HH Income Index,124.58471760797343
2009,Rent,45000,11040,Median Housing Cost Index,122.66666666666666
2010,Rent,43500,10800,Median HH Income Index,120.43189368770764
2010,Rent,43500,10800,Median Housing Cost Index,120
2011,Rent,48500,11520,Median HH Income Index,134.27464008859357
2011,Rent,48500,11520,Median Housing Cost Index,128
2012,Rent,50000,11400,Median HH Income Index,138.42746400885935
2012,Rent,50000,11400,Median Housing Cost Index,126.66666666666666
2013,Rent,54000,13200,Median HH Income Index,149.5016611295681
2013,Rent,54000,13200,Median Housing Cost Index,146.66666666666666
2014,Rent,55000,13200,Median HH Income Index,152.2702104097453
2014,Rent,55000,13200,Median Housing Cost Index,146.66666666666666
2015,Rent,64000,15600,Median HH Income Index,177.18715393133996
2015,Rent,64000,15600,Median Housing Cost Index,173.33333333333334
2016,Rent,66000,16800,Median HH Income Index,182.72425249169436
2016,Rent,66000,16800,Median Housing Cost Index,186.66666666666666
2017,Rent,75000,18000,Median HH Income Index,207.64119601328903
2017,Rent,75000,18000,Median Housing Cost Index,200
2018,Rent,78100,19200,Median HH Income Index,216.22369878183832
2018,Rent,78100,19200,Median Housing Cost Index,213.33333333333334
2019,Rent,85000,20400,Median HH Income Index,235.32668881506092
2019,Rent,85000,20400,Median Housing Cost Index,226.66666666666666
2020,Rent,81000,19200,Median HH Income Index,224.25249169435216
2020,Rent,81000,19200,Median Housing Cost Index,213.33333333333334
