"","Building size","Year","Households","Households (100 = 2005)"
"1","Single family",2005,25381,100
"2","2 - 4 units",2005,15030,100
"3","5 - 19 units",2005,35460,100
"4","20 - 49 units",2005,22691,100
"5","50 + units",2005,26089,100
"6","Single family",2006,20826,82.0535045900477
"7","2 - 4 units",2006,14152,94.1583499667332
"8","5 - 19 units",2006,32938,92.887760857304
"9","20 - 49 units",2006,24522,108.069278568595
"10","50 + units",2006,24724,94.767909847062
"11","Single family",2007,22620,89.1217840116623
"12","2 - 4 units",2007,19053,126.766467065868
"13","5 - 19 units",2007,33546,94.6023688663283
"14","20 - 49 units",2007,22354,98.5148296681504
"15","50 + units",2007,26479,101.494882900839
"16","Single family",2008,20974,82.6366179425555
"17","2 - 4 units",2008,16130,107.31869594145
"18","5 - 19 units",2008,31419,88.6040609137056
"19","20 - 49 units",2008,27025,119.100083733639
"20","50 + units",2008,29123,111.629422361915
"21","Single family",2009,27645,108.920058311335
"22","2 - 4 units",2009,16328,108.636061210912
"23","5 - 19 units",2009,35001,98.7055837563452
"24","20 - 49 units",2009,26860,118.372923185404
"25","50 + units",2009,33399,128.019471808042
"26","Single family",2010,28363,111.748946062015
"27","2 - 4 units",2010,16652,110.791749833666
"28","5 - 19 units",2010,31905,89.9746192893401
"29","20 - 49 units",2010,25461,112.207483143096
"30","50 + units",2010,36546,140.082026907892
"31","Single family",2011,31331,123.442732752847
"32","2 - 4 units",2011,18545,123.386560212908
"33","5 - 19 units",2011,33002,93.0682459108855
"34","20 - 49 units",2011,25018,110.255167246926
"35","50 + units",2011,34079,130.625934301813
"36","Single family",2012,32553,128.25735786612
"37","2 - 4 units",2012,17871,118.902195608782
"38","5 - 19 units",2012,31323,88.3333333333333
"39","20 - 49 units",2012,31238,137.666916398572
"40","50 + units",2012,37566,143.991720648549
"41","Single family",2013,30367,119.644616051377
"42","2 - 4 units",2013,15569,103.586161011311
"43","5 - 19 units",2013,38420,108.347433728144
"44","20 - 49 units",2013,23659,104.266008549645
"45","50 + units",2013,41119,157.610487178504
"46","Single family",2014,28375,111.796225523029
"47","2 - 4 units",2014,19661,130.811709913506
"48","5 - 19 units",2014,37595,106.02086858432
"49","20 - 49 units",2014,26408,116.380943986603
"50","50 + units",2014,45559,174.629154049599
"51","Single family",2015,29071,114.538434261849
"52","2 - 4 units",2015,16181,107.658017298736
"53","5 - 19 units",2015,32382,91.3197969543147
"54","20 - 49 units",2015,32724,144.215768366313
"55","50 + units",2015,47662,182.690022614895
"56","Single family",2016,27498,108.340884913912
"57","2 - 4 units",2016,16422,109.261477045908
"58","5 - 19 units",2016,38731,109.224478285392
"59","20 - 49 units",2016,32964,145.273456436473
"60","50 + units",2016,48191,184.717697113726
"61","Single family",2017,27733,109.266774358772
"62","2 - 4 units",2017,15701,104.464404524285
"63","5 - 19 units",2017,36242,102.205301748449
"64","20 - 49 units",2017,33934,149.548279053369
"65","50 + units",2017,52089,199.658860055962
"66","Single family",2018,33375,131.496000945589
"67","2 - 4 units",2018,13701,91.1576846307385
"68","5 - 19 units",2018,37694,106.300056401579
"69","20 - 49 units",2018,28598,126.032347626812
"70","50 + units",2018,64954,248.970830618268
"71","Single family",2019,31474,124.006146329932
"72","2 - 4 units",2019,16597,110.425815036593
"73","5 - 19 units",2019,37200,104.906937394247
"74","20 - 49 units",2019,35443,156.1984927945
"75","50 + units",2019,64872,248.656521905784
"76","Single family",2020,30720,121.03542019621
"77","2 - 4 units",2020,17447,116.081170991351
"78","5 - 19 units",2020,40446,114.060913705584
"79","20 - 49 units",2020,35344,155.762196465559
"80","50 + units",2020,62449,239.369082755184
