Building size,Year,Housing cost,Data source
Single family,2021,37966.77724262492,TrueRoll rental data
Single family,2022,42289.87497653464,TrueRoll rental data
2 - 4 units,2021,27193.587486618293,TrueRoll rental data
2 - 4 units,2022,29849.727115716752,TrueRoll rental data
5 - 19 units,2021,20994.60191690962,TrueRoll rental data
5 - 19 units,2022,23273.90661831369,TrueRoll rental data
20 - 49 units,2021,20985.573580037093,TrueRoll rental data
20 - 49 units,2022,23292.258208139854,TrueRoll rental data
50 + units,2021,29508.025193375277,TrueRoll rental data
50 + units,2022,31910.26034036881,TrueRoll rental data
Single family,2005,12449.107044286868,US Census IPUMS
Single family,2006,14232.958083832335,US Census IPUMS
Single family,2007,13808.52267579403,US Census IPUMS
Single family,2008,14972.690643187583,US Census IPUMS
Single family,2009,15530.476075690009,US Census IPUMS
Single family,2010,14720.073874814309,US Census IPUMS
Single family,2011,16578.769154894846,US Census IPUMS
Single family,2012,16423.568417018014,US Census IPUMS
Single family,2013,17171.781300188533,US Census IPUMS
Single family,2014,19313.301400147386,US Census IPUMS
Single family,2015,19782.523480819284,US Census IPUMS
Single family,2016,22087.123016627982,US Census IPUMS
Single family,2017,22565.079562696963,US Census IPUMS
Single family,2018,24798.10137073637,US Census IPUMS
Single family,2019,26368.686160359885,US Census IPUMS
Single family,2020,27934.126256753985,US Census IPUMS
2 - 4 units,2005,10070.746967439882,US Census IPUMS
2 - 4 units,2006,10236.642710472279,US Census IPUMS
2 - 4 units,2007,10389.879546251901,US Census IPUMS
2 - 4 units,2008,11167.649841157783,US Census IPUMS
2 - 4 units,2009,11190.805897798424,US Census IPUMS
2 - 4 units,2010,12023.550942365473,US Census IPUMS
2 - 4 units,2011,12224.671741198857,US Census IPUMS
2 - 4 units,2012,12744.133563615429,US Census IPUMS
2 - 4 units,2013,13001.995881949211,US Census IPUMS
2 - 4 units,2014,13851.5676035996,US Census IPUMS
2 - 4 units,2015,16258.05182026894,US Census IPUMS
2 - 4 units,2016,16411.35632183908,US Census IPUMS
2 - 4 units,2017,17603.74118622978,US Census IPUMS
2 - 4 units,2018,20025.623354869585,US Census IPUMS
2 - 4 units,2019,18619.96510067114,US Census IPUMS
2 - 4 units,2020,18408.212195121952,US Census IPUMS
5 - 19 units,2005,8887.611798287346,US Census IPUMS
5 - 19 units,2006,9399.6541674762,US Census IPUMS
5 - 19 units,2007,9629.40232651424,US Census IPUMS
5 - 19 units,2008,10428.255390063536,US Census IPUMS
5 - 19 units,2009,10726.306442471188,US Census IPUMS
5 - 19 units,2010,10131.567656765677,US Census IPUMS
5 - 19 units,2011,10943.072961373391,US Census IPUMS
5 - 19 units,2012,11299.751868038911,US Census IPUMS
5 - 19 units,2013,12057.175232233758,US Census IPUMS
5 - 19 units,2014,12397.8085050874,US Census IPUMS
5 - 19 units,2015,13750.466997303865,US Census IPUMS
5 - 19 units,2016,14773.224731151628,US Census IPUMS
5 - 19 units,2017,16104.301821335646,US Census IPUMS
5 - 19 units,2018,17510.50955980436,US Census IPUMS
5 - 19 units,2019,17526.19850294269,US Census IPUMS
5 - 19 units,2020,17421.502982107355,US Census IPUMS
20 - 49 units,2005,8726.696588868941,US Census IPUMS
20 - 49 units,2006,9274.057499674776,US Census IPUMS
20 - 49 units,2007,9110.31087805661,US Census IPUMS
20 - 49 units,2008,10384.321066803437,US Census IPUMS
20 - 49 units,2009,10719.147796024201,US Census IPUMS
20 - 49 units,2010,10647.739875957679,US Census IPUMS
20 - 49 units,2011,10695.303411754492,US Census IPUMS
20 - 49 units,2012,11261.745071525158,US Census IPUMS
20 - 49 units,2013,14033.380140421265,US Census IPUMS
20 - 49 units,2014,13480.717565039959,US Census IPUMS
20 - 49 units,2015,14456.959618333618,US Census IPUMS
20 - 49 units,2016,14472.011046593967,US Census IPUMS
20 - 49 units,2017,15805.748130886494,US Census IPUMS
20 - 49 units,2018,15968.46053352438,US Census IPUMS
20 - 49 units,2019,17564.140774010953,US Census IPUMS
20 - 49 units,2020,19461.09687339826,US Census IPUMS
50 + units,2005,8976.278228611176,US Census IPUMS
50 + units,2006,9662.073338847533,US Census IPUMS
50 + units,2007,10862.001430871043,US Census IPUMS
50 + units,2008,11242.357019064124,US Census IPUMS
50 + units,2009,11562.765059207139,US Census IPUMS
50 + units,2010,11606.919259965167,US Census IPUMS
50 + units,2011,12862.769701606732,US Census IPUMS
50 + units,2012,13598.406349987694,US Census IPUMS
50 + units,2013,14914.915436819994,US Census IPUMS
50 + units,2014,14502.498163115357,US Census IPUMS
50 + units,2015,16422.2678009556,US Census IPUMS
50 + units,2016,18617.638839884272,US Census IPUMS
50 + units,2017,19310.40811398213,US Census IPUMS
50 + units,2018,20023.654977278573,US Census IPUMS
50 + units,2019,20532.310391955052,US Census IPUMS
50 + units,2020,20155.894075894077,US Census IPUMS
