Building size,Year,Listings,Housing cost,Data source,Households
Single family,2021,3565,32303.62636746143,TrueRoll rental data,NA
2 - 4 units,2021,422,23693.77251184834,TrueRoll rental data,NA
5 - 19 units,2021,3159,20307.78727445394,TrueRoll rental data,NA
20 - 49 units,2021,2097,18946.546494992846,TrueRoll rental data,NA
50 + units,2021,2656,26828.74246987952,TrueRoll rental data,NA
Single family,2022,1806,34482,TrueRoll rental data,NA
2 - 4 units,2022,197,25948.812182741116,TrueRoll rental data,NA
5 - 19 units,2022,1468,22807.0136239782,TrueRoll rental data,NA
20 - 49 units,2022,1147,21109.537925021796,TrueRoll rental data,NA
50 + units,2022,2194,27965.349134001823,TrueRoll rental data,NA
Single family,2005,NA,12449.107044286868,US Census IPUMS,23551
Single family,2006,NA,14232.958083832335,US Census IPUMS,20040
Single family,2007,NA,13808.52267579403,US Census IPUMS,19867
Single family,2008,NA,14972.690643187583,US Census IPUMS,20103
Single family,2009,NA,15530.476075690009,US Census IPUMS,24891
Single family,2010,NA,14720.073874814309,US Census IPUMS,24907
Single family,2011,NA,16578.769154894846,US Census IPUMS,28387
Single family,2012,NA,16423.568417018014,US Census IPUMS,31308
Single family,2013,NA,17171.781300188533,US Census IPUMS,28642
Single family,2014,NA,19313.301400147386,US Census IPUMS,27140
Single family,2015,NA,19782.523480819284,US Census IPUMS,26511
Single family,2016,NA,22087.123016627982,US Census IPUMS,26281
Single family,2017,NA,22565.079562696963,US Census IPUMS,25703
Single family,2018,NA,24798.10137073637,US Census IPUMS,31370
Single family,2019,NA,26368.686160359885,US Census IPUMS,30232
Single family,2020,NA,27934.126256753985,US Census IPUMS,29242
2 - 4 units,2005,NA,10070.746967439882,US Census IPUMS,14097
2 - 4 units,2006,NA,10236.642710472279,US Census IPUMS,11688
2 - 4 units,2007,NA,10389.879546251901,US Census IPUMS,17102
2 - 4 units,2008,NA,11167.649841157783,US Census IPUMS,14165
2 - 4 units,2009,NA,11190.805897798424,US Census IPUMS,14853
2 - 4 units,2010,NA,12023.550942365473,US Census IPUMS,14644
2 - 4 units,2011,NA,12224.671741198857,US Census IPUMS,16816
2 - 4 units,2012,NA,12744.133563615429,US Census IPUMS,15633
2 - 4 units,2013,NA,13001.995881949211,US Census IPUMS,14570
2 - 4 units,2014,NA,13851.5676035996,US Census IPUMS,18002
2 - 4 units,2015,NA,16258.05182026894,US Census IPUMS,15245
2 - 4 units,2016,NA,16411.35632183908,US Census IPUMS,15660
2 - 4 units,2017,NA,17603.74118622978,US Census IPUMS,14466
2 - 4 units,2018,NA,20025.623354869585,US Census IPUMS,12537
2 - 4 units,2019,NA,18619.96510067114,US Census IPUMS,14900
2 - 4 units,2020,NA,18408.212195121952,US Census IPUMS,16400
5 - 19 units,2005,NA,8887.611798287346,US Census IPUMS,31530
5 - 19 units,2006,NA,9399.6541674762,US Census IPUMS,30882
5 - 19 units,2007,NA,9629.40232651424,US Census IPUMS,29916
5 - 19 units,2008,NA,10428.255390063536,US Census IPUMS,28803
5 - 19 units,2009,NA,10726.306442471188,US Census IPUMS,31758
5 - 19 units,2010,NA,10131.567656765677,US Census IPUMS,29088
5 - 19 units,2011,NA,10943.072961373391,US Census IPUMS,29125
5 - 19 units,2012,NA,11299.751868038911,US Census IPUMS,28372
5 - 19 units,2013,NA,12057.175232233758,US Census IPUMS,34771
5 - 19 units,2014,NA,12397.8085050874,US Census IPUMS,34497
5 - 19 units,2015,NA,13750.466997303865,US Census IPUMS,30043
5 - 19 units,2016,NA,14773.224731151628,US Census IPUMS,34499
5 - 19 units,2017,NA,16104.301821335646,US Census IPUMS,32284
5 - 19 units,2018,NA,17510.50955980436,US Census IPUMS,33735
5 - 19 units,2019,NA,17526.19850294269,US Census IPUMS,35002
5 - 19 units,2020,NA,17421.502982107355,US Census IPUMS,37725
20 - 49 units,2005,NA,8726.696588868941,US Census IPUMS,20052
20 - 49 units,2006,NA,9274.057499674776,US Census IPUMS,23061
20 - 49 units,2007,NA,9110.31087805661,US Census IPUMS,18689
20 - 49 units,2008,NA,10384.321066803437,US Census IPUMS,23397
20 - 49 units,2009,NA,10719.147796024201,US Census IPUMS,23140
20 - 49 units,2010,NA,10647.739875957679,US Census IPUMS,21928
20 - 49 units,2011,NA,10695.303411754492,US Census IPUMS,23038
20 - 49 units,2012,NA,11261.745071525158,US Census IPUMS,28102
20 - 49 units,2013,NA,14033.380140421265,US Census IPUMS,21934
20 - 49 units,2014,NA,13480.717565039959,US Census IPUMS,23524
20 - 49 units,2015,NA,14456.959618333618,US Census IPUMS,29345
20 - 49 units,2016,NA,14472.011046593967,US Census IPUMS,28244
20 - 49 units,2017,NA,15805.748130886494,US Census IPUMS,30897
20 - 49 units,2018,NA,15968.46053352438,US Census IPUMS,23729
20 - 49 units,2019,NA,17564.140774010953,US Census IPUMS,32506
20 - 49 units,2020,NA,19461.09687339826,US Census IPUMS,31216
50 + units,2005,NA,8976.278228611176,US Census IPUMS,21565
50 + units,2006,NA,9662.073338847533,US Census IPUMS,21762
50 + units,2007,NA,10862.001430871043,US Census IPUMS,22364
50 + units,2008,NA,11242.357019064124,US Census IPUMS,25388
50 + units,2009,NA,11562.765059207139,US Census IPUMS,29135
50 + units,2010,NA,11606.919259965167,US Census IPUMS,30431
50 + units,2011,NA,12862.769701606732,US Census IPUMS,28754
50 + units,2012,NA,13598.406349987694,US Census IPUMS,32504
50 + units,2013,NA,14914.915436819994,US Census IPUMS,37132
50 + units,2014,NA,14502.498163115357,US Census IPUMS,40830
50 + units,2015,NA,16422.2678009556,US Census IPUMS,42905
50 + units,2016,NA,18617.638839884272,US Census IPUMS,42513
50 + units,2017,NA,19310.40811398213,US Census IPUMS,45551
50 + units,2018,NA,20023.654977278573,US Census IPUMS,58315
50 + units,2019,NA,20532.310391955052,US Census IPUMS,59267
50 + units,2020,NA,20155.894075894077,US Census IPUMS,54945
