"","RECORD_ID","Parcel number","Registered units","TrueRoll unit count"
"1","001-0100004","880490-0825",23,3
"2","001-0100005","797420-0021",12,2
"3","001-0100010","790520-0015",28,1
"4","001-0100011","032400-0505",21,1
"5","001-0100013","182504-9006",93,11
"6","001-0100015","762570-3280",25,9
"7","001-0100016","762570-2660",12,6
"8","001-0100017","612660-0815",28,2
"9","001-0100018","812970-0330",25,10
"10","001-0100026","807710-0040",6,3
"11","001-0100029","276760-4965",268,55
"12","001-0100033","006500-0015",10,2
"13","001-0100033","006500-0015",10,2
"14","001-0100036","894423-0000",146,NA
"15","001-0100038","408380-2265",5,1
"16","001-0100039","065400-0285",92,49
"17","001-0100040","069400-0080",137,NA
"18","001-0100043","199120-0795",10,NA
"19","001-0100044","952810-1165",9,NA
"20","001-0100045","882390-1255",13,NA
"21","001-0100046","859040-0485",96,41
"22","001-0100048","923190-0005",70,13
"23","001-0100052","246740-0245",199,NA
"24","001-0100063","192604-9239",180,NA
"25","001-0100064","312404-9216",163,NA
"26","001-0100065","312404-9205",286,NA
"27","001-0100066","329870-0650",10,NA
"28","001-0100070","387690-0040",42,NA
"29","001-0100073","065300-0480",134,80
"30","001-0100074","065300-0480",194,80
"31","001-0100075","383400-0540",152,1
"32","001-0100078","065600-0450",221,92
"33","001-0100079","065600-0440",187,NA
"34","001-0100080","173230-0070",16,1
"35","001-0100081","688990-0015",24,7
"36","001-0100082","367940-0030",20,NA
"37","001-0100083","545730-0385",13,NA
"38","001-0100084","198920-1170",46,3
"39","001-0100085","195970-0050",11,NA
"40","001-0100087","262404-9156",12,NA
"41","001-0100089","069880-0020",25,NA
"42","001-0100090","192604-9133",140,NA
"43","001-0100091","192604-9438",251,3
"44","001-0100092","787940-0030",208,NA
"45","001-0100092","DV0065-805",208,NA
"46","001-0100093","145360-0660",207,NA
"47","001-0100094","065600-0550",251,34
"48","001-0100094","DV0017-375",251,NA
"49","001-0100095","859040-0790",50,1
"50","001-0100097","884905-0000",176,NA
"51","001-0100099","276760-3940",17,NA
"52","001-0100100","114200-0120",16,NA
"53","001-0100101","192504-9052",150,45
"54","001-0100102","929730-1855",26,7
"55","001-0100104","193130-1220",21,NA
"56","001-0100105","872560-0070",16,7
"57","001-0100106","952810-0465",46,4
"58","001-0100107","290220-0885",12,NA
"59","001-0100108","922140-0410",20,3
"60","001-0100109","684820-0335",14,NA
"61","001-0100110","794260-1815",10,NA
"62","001-0100111","935290-1185",24,2
"63","001-0100112","180690-0405",31,2
"64","001-0100113","197220-2855",45,7
"65","001-0100115","880490-0045",23,2
"66","001-0100116","411460-1250",21,2
"67","001-0100117","366750-0070",18,5
"68","001-0100118","067600-0010",41,12
"69","001-0100119","872560-0100",31,3
"70","001-0100120","277060-3510",19,2
"71","001-0100121","684820-0311",36,2
"72","001-0100123","643150-0351",10,3
"73","001-0100124","113900-0075",8,4
"74","001-0100125","206110-0020",8,1
"75","001-0100126","952810-3465",9,NA
"76","001-0100127","192504-9050",8,3
"77","001-0100127","192504-9050",8,3
"78","001-0100128","891100-0005",12,NA
"79","001-0100129","362603-9340",11,NA
"80","001-0100130","643150-0092",11,1
"81","001-0100131","643150-0340",10,1
"82","001-0100132","083200-0085",9,2
"83","001-0100133","643150-0350",13,NA
"84","001-0100134","955020-0045",16,2
"85","001-0100135","913710-0420",15,4
"86","001-0100136","913710-0905",10,2
"87","001-0100137","913710-1240",26,NA
"88","001-0100138","671670-0070",18,4
"89","001-0100139","913710-1731",17,5
"90","001-0100140","952810-4220",16,NA
"91","001-0100141","717480-0890",10,2
"92","001-0100142","952210-0065",15,1
"93","001-0100143","569350-1416",19,5
"94","001-0100144","268840-0000",25,NA
"95","001-0100146","197220-0620",24,4
"96","001-0100147","685170-0010",28,3
"97","001-0100148","117500-0904",40,4
"98","001-0100149","446840-0220",27,4
"99","001-0100150","305270-0130",16,4
"100","001-0100151","684820-0410",21,NA
"101","001-0100152","387990-0325",25,10
